3;Océanopolis, Brest;1;05h47;06h07;06h29;06h49;07h04;07h17
3;Port de Plaisance, Brest;1;05h48;06h08;06h30;06h50;07h05;07h18
3;Palaren, Guipavas;1;05h49;06h09;06h31;06h51;07h06;07h19
3;Landelle, Brest;1;05h50;06h10;06h32;06h52;07h07;07h20
3;Le Goffic, Brest;1;05h50;06h10;06h33;06h53;07h08;07h21
3;Bernard, Brest;1;05h51;06h11;06h33;06h53;07h08;07h21
3;Kerisbian, Brest;1;05h51;06h11;06h34;06h54;07h09;07h22
3;St Marc, Brest;1;05h52;06h12;06h35;06h55;07h10;07h23
3;Dixmude, Brest;1;05h53;06h13;06h36;06h56;07h11;07h24
3;Brazza, Brest;1;05h54;06h14;06h37;06h57;07h12;07h25
3;Maleyssie, Brest;1;05h54;06h14;06h38;06h58;07h13;07h26
3;D'estrées, Brest;1;05h55;06h15;06h39;06h59;07h14;07h27
3;Guynemer, Brest;1;05h55;06h15;06h39;06h59;07h14;07h27
3;Rodin, Brest;1;05h56;06h16;06h40;07h00;07h15;07h28
3;Douric, Brest;1;05h57;06h17;06h40;07h00;07h15;07h29
3;Poul-ar-Bachet, Brest;1;05h58;06h18;06h42;07h02;07h17;07h31
3;Octroi, Brest;1;05h59;06h19;06h43;07h03;07h18;07h32
3;Richelieu, Brest;1;06h00;06h20;06h44;07h04;07h19;07h33
3;Sanquer, Brest;1;06h01;06h21;06h45;07h05;07h20;07h35
3;Sané, Brest;1;06h02;06h22;06h46;07h06;07h21;07h36
3;République, Brest;1;06h03;06h23;06h48;07h08;07h23;07h38
3;Gambetta gare, Brest;1;06h04;06h24;06h49;07h09;07h24;07h39
3;Liberté Quartz, Brest;1;06h05;06h25;06h50;07h10;07h25;07h40
3;Liberté Place, Brest;1;06h06;06h26;06h51;07h11;07h26;07h41
3;Hôtel de Ville, Brest;1;06h06;06h26;06h51;07h12;07h27;07h42
3;Malakoff, Brest;1;06h08;06h28;06h53;07h13;07h28;07h44
3;Albert 1er, Brest;1;06h09;06h29;06h54;07h15;07h30;07h46
3;Pasteur, Brest;1;06h11;06h31;06h56;07h17;07h32;07h48
3;Péguy, Brest;1;06h11;06h31;06h56;07h17;07h32;07h49
3;Kerinou, Brest;1;06h12;06h32;06h57;07h18;07h33;07h50
3;Keralloche, Brest;1;06h13;06h33;06h58;07h20;07h35;07h52
3;Gay Lussac, Brest;1;06h14;06h34;06h59;07h21;07h36;07h53
3;Grétry, Brest;1;06h15;06h35;07h00;07h22;07h37;07h54
3;Tréornou, Brest;1;06h16;06h36;07h01;07h23;07h38;07h55
3;Couperin, Brest;1;06h16;06h36;07h01;07h24;07h39;07h56
3;Berlioz, Brest;1;06h17;06h37;07h02;07h25;07h40;07h57
3;Place de Bretagne, Brest;1;06h18;06h38;07h04;07h27;07h42;07h59
3;Place des FFI, Brest;1;06h19;06h39;07h06;07h29;07h44;08h01
3;Chapalain, Brest;1;06h20;06h40;07h07;07h30;07h45;08h02
3;Giloux, Brest;1;06h21;06h41;07h07;07h30;07h45;08h02
3;Lambézellec, Brest;1;06h21;06h41;07h08;07h31;07h46;08h03
3;Lambézellec, Brest;-1;05h41;06h01;06h29;06h53;07h11;07h19
3;Giloux, Brest;-1;05h42;06h02;06h30;06h54;07h12;07h20
3;Chapalain, Brest;-1;05h42;06h02;06h30;06h55;07h13;07h21
3;Place des FFI, Brest;-1;05h43;06h03;06h31;06h56;07h14;07h22
3;Place de Bretagne, Brest;-1;05h44;06h04;06h32;06h57;07h15;07h24
3;Berlioz, Brest;-1;05h46;06h06;06h34;06h59;07h17;07h25
3;Couperin, Brest;-1;05h47;06h07;06h35;07h00;07h18;07h27
3;Tréornou, Brest;-1;05h48;06h08;06h36;07h01;07h19;07h28
3;Grétry, Brest;-1;05h49;06h09;06h37;07h02;07h20;07h29
3;Gay Lussac, Brest;-1;05h50;06h10;06h38;07h03;07h21;07h31
3;Keralloche, Brest;-1;05h51;06h11;06h40;07h05;07h23;07h33
3;Kerinou, Brest;-1;05h53;06h13;06h42;07h07;07h25;07h35
3;Péguy, Brest;-1;05h54;06h14;06h43;07h08;07h26;07h36
3;Pasteur, Brest;-1;05h54;06h14;06h44;07h09;07h27;07h37
3;Albert 1er, Brest;-1;05h56;06h16;06h45;07h10;07h29;07h39
3;Malakoff, Brest;-1;05h57;06h17;06h46;07h11;07h30;07h40
3;Hôtel de Ville, Brest;-1;05h58;06h18;06h48;07h13;07h33;07h43
3;Liberté Place, Brest;-1;05h59;06h19;06h49;07h14;07h34;07h44
3;Liberté Quartz, Brest;-1;06h00;06h20;06h50;07h15;07h35;07h45
3;Gambetta gare, Brest;-1;06h01;06h21;06h51;07h16;07h36;07h46
3;République, Brest;-1;06h02;06h22;06h52;07h17;07h37;07h47
3;Sané, Brest;-1;06h03;06h23;06h53;07h19;07h39;07h49
3;Sanquer, Brest;-1;06h04;06h24;06h54;07h20;07h40;07h50
3;Richelieu, Brest;-1;06h05;06h25;06h55;07h21;07h41;07h51
3;Octroi, Brest;-1;06h06;06h26;06h56;07h22;07h42;07h52
3;Poul-ar-Bachet, Brest;-1;06h07;06h27;06h57;07h23;07h43;07h53
3;Douric, Brest;-1;06h08;06h28;06h58;07h24;07h44;07h54
3;Rodin, Brest;-1;06h08;06h28;06h58;07h25;07h45;07h55
3;Guynemer, Brest;-1;06h09;06h29;06h59;07h26;07h46;07h56
3;D'estrées, Brest;-1;06h09;06h29;07h00;07h26;07h46;07h56
3;Maleyssie, Brest;-1;06h10;06h30;07h00;07h27;07h47;07h57
3;Brazza, Brest;-1;06h10;06h30;07h01;07h28;07h48;07h58
3;Dixmude, Brest;-1;06h11;06h31;07h02;07h28;07h48;07h58
3;St Marc, Brest;-1;06h12;06h32;07h03;07h30;07h50;08h00
3;Kerisbian, Brest;-1;06h13;06h33;07h04;07h31;07h51;08h01
3;Bernard, Brest;-1;06h13;06h33;07h05;07h32;07h52;08h02
3;Le Goffic, Brest;-1;06h14;06h34;07h05;07h32;07h52;08h02
3;Landelle, Brest;-1;06h14;06h34;07h06;07h33;07h53;08h03
3;Palaren, Guipavas;-1;06h15;06h35;07h07;07h34;07h54;08h04
3;Port de Plaisance, Brest;-1;06h16;06h36;07h08;07h35;07h55;08h05
3;Ty Yann, Brest;-1;06h18;06h38;07h10;07h37;07h57;08h07
3;Océanopolis, Brest;-1;06h19;06h39;07h11;07h38;07h58;08h08
4;Port de Commerce, Brest;1;05h48;06h18;06h47;07h05;07h21;07h40
4;La Carène, Brest;1;05h49;06h19;06h48;07h06;07h22;07h41
4;Les Iles, Brest;1;05h50;06h20;06h49;07h07;07h23;07h42
4;Port du Château, Brest;1;05h51;06h21;06h50;07h08;07h24;07h43
4;Rampes, Brest;1;05h52;06h22;06h51;07h09;07h25;07h44
4;Kennedy Gare, Brest;1;05h54;06h24;06h53;07h11;07h27;07h46
4;Liberté Quartz, Brest;1;05h55;06h25;06h54;07h12;07h29;07h48
4;Multiplexe, Brest;1;05h56;06h26;06h55;07h13;07h30;07h49
4;Harteloire, Brest;1;05h57;06h27;06h56;07h14;07h31;07h50
4;Coppin, Brest;1;05h58;06h28;06h57;07h15;07h32;07h51
4;Les Capucins, Brest;1;06h00;06h30;06h59;07h17;07h35;07h54
4;Landais (rue gallieni), Brest;1;06h01;06h31;07h00;07h18;07h37;07h55
4;Rte de Guilers, Brest;1;06h02;06h32;07h01;07h19;07h38;07h56
4;Beaumanoir, Brest;1;06h03;06h33;07h02;07h20;07h39;07h57
4;Polygone, Brest;1;06h03;06h33;07h02;07h20;07h40;07h58
4;Vali Hir, Brest;1;06h05;06h35;07h04;07h22;07h42;08h00
4;Kerfeunteun, Brest;1;06h06;06h36;07h05;07h23;07h43;08h01
4;Tallinn, Brest;1;06h07;06h37;07h06;07h24;07h44;08h02
4;Warspite, Brest;1;06h08;06h38;07h07;07h25;07h45;08h03
4;Schubert, Brest;1;06h09;06h39;07h08;07h26;07h46;08h04
4;Michel Ange, Brest;1;06h10;06h40;07h09;07h27;07h47;08h05
4;Kant, Brest;1;06h10;06h40;07h09;07h27;07h48;08h06
4;Amiral Ronarc'h, Brest;1;06h11;06h41;07h10;07h28;07h49;08h07
4;Le Greco, Brest;1;06h11;06h41;07h10;07h28;07h50;08h08
4;Prigent, Brest;1;06h12;06h42;07h11;07h29;07h51;08h09
4;Questel, Brest;1;06h13;06h43;07h12;07h30;07h52;08h10
4;Hôpital Cavale 2, Brest;1;06h14;06h44;07h13;07h31;07h53;08h11
4;Hôpital Cavale 2, Brest;-1;05h42;06h16;06h32;06h48;07h03;07h17
4;Questel, Brest;-1;05h43;06h17;06h33;06h49;07h04;07h18
4;Prigent, Brest;-1;05h44;06h18;06h34;06h50;07h05;07h19
4;Le Greco, Brest;-1;05h44;06h18;06h34;06h50;07h06;07h20
4;Amiral Ronarc'h, Brest;-1;05h45;06h19;06h35;06h51;07h07;07h21
4;Kant, Brest;-1;05h46;06h20;06h36;06h52;07h08;07h22
4;Michel Ange, Brest;-1;05h46;06h20;06h36;06h52;07h09;07h23
4;Schubert, Brest;-1;05h47;06h22;06h38;06h54;07h10;07h24
